,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,962,8728,0.727,0.848,0.553,0.669,5.807,9690
Dropout 1,5367,4339,975,8640,0.725,0.846,0.553,0.669,5.752,9615
Dropout 2,5367,4339,921,8691,0.728,0.854,0.553,0.671,5.768,9612
Dropout 3,5368,4339,958,8659,0.726,0.849,0.553,0.67,5.764,9617
Dropout 4,5366,4337,930,8672,0.727,0.852,0.553,0.671,5.777,9602
Dropout 5,5369,4339,947,8672,0.726,0.85,0.553,0.67,5.774,9619
Dropout 6,5367,4339,938,8681,0.727,0.851,0.553,0.67,5.796,9619
Dropout 7,5368,4339,960,8659,0.726,0.848,0.553,0.669,5.783,9619
Dropout 8,5367,4337,932,8689,0.727,0.852,0.553,0.671,5.784,9621
Dropout 9,5366,4339,919,8689,0.728,0.854,0.553,0.671,5.777,9608
Dropout 10,5366,4339,937,8689,0.727,0.851,0.553,0.67,5.776,9626
