,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,1777,7910,0.685,0.751,0.553,0.637,3.007,9687
Dropout 1,5366,4337,1483,8083,0.698,0.783,0.553,0.648,3.524,9566
Dropout 2,5365,4337,1479,8090,0.698,0.784,0.553,0.649,3.522,9569
Dropout 3,5356,4335,1491,8075,0.697,0.782,0.553,0.648,3.513,9566
Dropout 4,5365,4337,1460,8108,0.699,0.786,0.553,0.649,3.517,9568
Dropout 5,5365,4337,1477,8102,0.698,0.784,0.553,0.649,3.522,9579
Dropout 6,5367,4339,1509,8065,0.697,0.781,0.553,0.648,3.521,9574
Dropout 7,5357,4335,1468,8094,0.699,0.785,0.553,0.649,3.521,9562
Dropout 8,5358,4337,1490,8078,0.698,0.782,0.553,0.648,3.524,9568
Dropout 9,5351,4334,1480,8089,0.698,0.783,0.553,0.648,3.511,9569
Dropout 10,5366,4339,1471,8104,0.699,0.785,0.553,0.649,3.523,9575
