,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,1777,7910,0.685,0.751,0.553,0.637,3.007,9687
Dropout 1,5369,4339,1702,7958,0.688,0.759,0.553,0.64,3.162,9660
Dropout 2,5369,4339,1646,8009,0.691,0.765,0.553,0.642,3.161,9655
Dropout 3,5369,4339,1660,7993,0.69,0.764,0.553,0.642,3.161,9653
Dropout 4,5367,4337,1682,7976,0.689,0.761,0.553,0.641,3.157,9658
Dropout 5,5368,4339,1642,8005,0.691,0.766,0.553,0.642,3.151,9647
Dropout 6,5369,4339,1672,7978,0.689,0.763,0.553,0.641,3.158,9650
Dropout 7,5368,4339,1704,7953,0.688,0.759,0.553,0.64,3.162,9657
Dropout 8,5368,4339,1688,7959,0.689,0.761,0.553,0.641,3.162,9647
Dropout 9,5367,4339,1667,7990,0.69,0.763,0.553,0.641,3.162,9657
Dropout 10,5367,4339,1679,7977,0.689,0.762,0.553,0.641,3.159,9656
